positions_X,positions_y,Time_Sec
7.571024980279617e-06,-75.00047302246094,0.18961834907531738
8.10938399808947e-06,-75.00054931640625,0.2791106700897217
8.668772352393717e-06,-75.0006103515625,0.3415076732635498
9.219929779646918e-06,-75.00060272216797,0.3998584747314453
9.754510756465606e-06,-75.00060272216797,0.4577958583831787
1.0272920917486772e-05,-75.00060272216797,0.5150163173675537
1.076459011528641e-05,-75.00060272216797,0.5727653503417969
1.1181544323335402e-05,-75.00060272216797,0.6307675838470459
1.1599190656852443e-05,-75.00060272216797,0.6881256103515625
1.1943766367039643e-05,-75.00060272216797,0.7483875751495361
1.2264138604223263e-05,-75.00060272216797,0.8071091175079346
1.2562135452753864e-05,-75.00060272216797,0.8691437244415283
1.2837809663324151e-05,-75.00060272216797,0.9279680252075195
1.3093761481286492e-05,-75.00060272216797,0.9890871047973633
1.3331530681170989e-05,-75.00060272216797,1.0476796627044678
1.3551949450629763e-05,-75.00060272216797,1.1064231395721436
1.3756382031715475e-05,-75.00060272216797,1.1670782566070557
1.3946114449936431e-05,-75.00060272216797,1.2268619537353516
1.4122492757451255e-05,-75.00060272216797,1.2859306335449219
1.4286254554463085e-05,-75.00060272216797,1.3429863452911377
1.4437993741012178e-05,-75.00060272216797,1.3983805179595947
1.4578896298189647e-05,-75.00060272216797,1.4549527168273926
1.4709595234307926e-05,-75.00060272216797,1.5101280212402344
1.8333505067857914e-05,-75.0008544921875,1.5697755813598633
7.268631452461705e-05,-75.00018310546875,1.6344456672668457
0.00019048595277126878,-75.00138092041016,1.6993069648742676
1.5548157534794882e-05,-74.99635314941406,1.764164686203003
-0.0004105800180695951,-74.98905181884766,1.8280072212219238
-0.0025640479288995266,-74.98019409179688,1.8944337368011475
-0.006770349107682705,-74.96073913574219,1.9566354751586914
-0.011389446444809437,-74.9284896850586,2.01953125
-0.018014876171946526,-74.89200592041016,2.0855371952056885
-0.02555701695382595,-74.85386657714844,2.1508326530456543
-0.03408939018845558,-74.81243133544922,2.2093536853790283
-0.04492830112576485,-74.7660140991211,2.272474527359009
-0.05744212120771408,-74.71133422851562,2.3289623260498047
-0.0706736221909523,-74.64910125732422,2.390265941619873
-0.08564494550228119,-74.58216094970703,2.451946496963501
-0.10237959772348404,-74.51154327392578,2.5113954544067383
-0.12098170816898346,-74.43649291992188,2.5718612670898438
-0.14203323423862457,-74.35651397705078,2.6430788040161133
-0.1657063364982605,-74.27075958251953,2.7089004516601562
-0.1924012005329132,-74.17898559570312,2.769716262817383
-0.2226758897304535,-74.081787109375,2.830019950866699
-0.2576587200164795,-73.97929382324219,2.893136501312256
-0.2981671392917633,-73.87055206298828,2.9596164226531982
-0.3432020843029022,-73.75472259521484,3.0250799655914307
-0.3906644284725189,-73.63316345214844,3.0892326831817627
-0.4418526887893677,-73.5070571899414,3.1527132987976074
-0.4975731074810028,-73.37648010253906,3.2181122303009033
-0.5592650771141052,-73.2410659790039,3.2819459438323975
-0.6275246739387512,-73.10017395019531,3.3460774421691895
-0.7005695700645447,-72.95305633544922,3.4094035625457764
-0.7774775624275208,-72.80101013183594,3.46881103515625
-0.8601147532463074,-72.64569091796875,3.5315656661987305
-0.9498234391212463,-72.48672485351562,3.5925869941711426
-1.0475432872772217,-72.32453918457031,3.657595157623291
-1.153377652168274,-72.15739440917969,3.7211732864379883
-1.2666707038879395,-71.98603820800781,3.781674861907959
-1.3864890336990356,-71.8124771118164,3.846972703933716
-1.5137282609939575,-71.63953399658203,3.9137580394744873
-1.6491312980651855,-71.46643829345703,3.9789600372314453
-1.7935830354690552,-71.29296112060547,4.0441718101501465
-1.9485454559326172,-71.11754608154297,4.1063454151153564
-2.113809108734131,-70.94075775146484,4.172839879989624
-2.289041519165039,-70.76593017578125,4.231646299362183
-2.4732654094696045,-70.59468078613281,4.295401573181152
-2.665210485458374,-70.42860412597656,4.3554911613464355
-2.868187427520752,-70.26676940917969,4.415687084197998
-3.0854241847991943,-70.10662841796875,4.473057270050049
-3.3161416053771973,-69.949462890625,4.532941102981567
-3.5555624961853027,-69.79960632324219,4.593421697616577
-3.8000266551971436,-69.66008758544922,4.655430555343628
-4.051394462585449,-69.53046417236328,4.719163656234741
-4.315969944000244,-69.40814971923828,4.797094345092773
-4.596119403839111,-69.29228973388672,4.860173463821411
-4.886267185211182,-69.18692779541016,4.9204607009887695
-5.17885160446167,-69.09519958496094,4.9847328662872314
-5.473139762878418,-69.01699829101562,5.048295497894287
-5.775112152099609,-68.95175170898438,5.1088547706604
-6.087855815887451,-68.90071868896484,5.172181844711304
-6.414597511291504,-68.85708618164062,5.233180522918701
-6.747901439666748,-68.82500457763672,5.297675132751465
-7.07756233215332,-68.8122329711914,5.3566930294036865
-7.4084038734436035,-68.81571960449219,5.422449588775635
-7.745952129364014,-68.8348388671875,5.482773542404175
-8.087489128112793,-68.87140655517578,5.541219711303711
-8.427172660827637,-68.92574310302734,5.601165294647217
-8.762511253356934,-68.99673461914062,5.6612701416015625
-9.095857620239258,-69.08486938476562,5.722343921661377
-9.429193496704102,-69.19107818603516,5.781613826751709
-9.759902000427246,-69.3158950805664,5.8422558307647705
-10.082819938659668,-69.4577407836914,5.9078569412231445
-10.396100044250488,-69.61489868164062,5.975808620452881
-10.70177936553955,-69.78761291503906,6.043728828430176
-11.000240325927734,-69.97631072998047,6.104979038238525
-11.288213729858398,-70.17984771728516,6.168379545211792
-11.563128471374512,-70.39679718017578,6.229492425918579
-11.8255033493042,-70.62689971923828,6.287241697311401
-12.076732635498047,-70.87031555175781,6.353320360183716
