positions_X,positions_y,Time_Sec
9.219929779646918e-06,-75.00060272216797,0.1970524787902832
9.754510756465606e-06,-75.00060272216797,0.2790987491607666
1.0272920917486772e-05,-75.00060272216797,0.3672976493835449
1.076459011528641e-05,-75.00060272216797,0.43311500549316406
1.1181544323335402e-05,-75.00060272216797,0.4913778305053711
1.1599190656852443e-05,-75.00060272216797,0.548659086227417
1.1943766367039643e-05,-75.00060272216797,0.6081311702728271
1.2264138604223263e-05,-75.00060272216797,0.7059760093688965
1.2562135452753864e-05,-75.00060272216797,0.7674243450164795
1.2837809663324151e-05,-75.00060272216797,0.827704906463623
1.3093761481286492e-05,-75.00060272216797,0.8872973918914795
1.3331530681170989e-05,-75.00060272216797,0.9478113651275635
1.3551949450629763e-05,-75.00060272216797,1.0050945281982422
1.3756382031715475e-05,-75.00060272216797,1.0912365913391113
1.3946114449936431e-05,-75.00060272216797,1.153763771057129
1.4122492757451255e-05,-75.00060272216797,1.231170892715454
1.4286254554463085e-05,-75.00060272216797,1.3113844394683838
1.4437993741012178e-05,-75.00060272216797,1.3942749500274658
1.4578896298189647e-05,-75.00060272216797,1.507185697555542
1.4709595234307926e-05,-75.00060272216797,1.6019835472106934
1.4757943972654175e-05,-74.99992370605469,1.6720218658447266
1.4994331650086679e-05,-74.99349212646484,1.7393629550933838
1.5748348232591525e-05,-74.98143768310547,1.8145995140075684
1.6577329006395303e-05,-74.97134399414062,1.8792142868041992
1.7383154045091942e-05,-74.96285247802734,1.94045090675354
1.6493437215103768e-05,-74.94770812988281,2.000134229660034
1.655769483477343e-05,-74.92378997802734,2.0626282691955566
1.4918279703124426e-05,-74.89779663085938,2.133467674255371
1.6521331417607144e-05,-74.86573791503906,2.201707124710083
1.827915184549056e-05,-74.81889343261719,2.273045063018799
1.9109833374386653e-05,-74.75550842285156,2.36802077293396
2.4969260266516358e-05,-74.6803970336914,2.5042667388916016
3.1688803574070334e-05,-74.59931182861328,2.598910093307495
3.4442222386132926e-05,-74.51765441894531,2.6615030765533447
3.846668914775364e-05,-74.43456268310547,2.723445415496826
4.713976522907615e-05,-74.35016632080078,2.7827858924865723
6.613461300730705e-05,-74.25619506835938,2.843773603439331
7.282567821675912e-05,-74.14351654052734,2.906151533126831
7.262163126142696e-05,-74.01834869384766,3.0180349349975586
6.596948514925316e-05,-73.89583587646484,3.1380608081817627
5.940961273154244e-05,-73.77969360351562,3.2558391094207764
7.047667168080807e-05,-73.65332794189453,3.3663768768310547
7.350919622695073e-05,-73.50727844238281,3.441067695617676
6.52848684694618e-05,-73.35269165039062,3.5308125019073486
5.2275943744461983e-05,-73.2046890258789,3.6466219425201416
4.42917225882411e-05,-73.05867767333984,3.728095054626465
3.571619890863076e-05,-72.89089965820312,3.815122127532959
2.0586532627930865e-05,-72.70542907714844,3.935481548309326
-6.271598977036774e-06,-72.52666473388672,4.023609399795532
-3.918898437405005e-05,-72.35235595703125,4.115462303161621
-8.285436342703179e-05,-72.16040802001953,4.23516583442688
-0.00012146939116064459,-71.95279693603516,4.317228555679321
-0.00017296696023549885,-71.75234985351562,4.415372848510742
-0.000234918188652955,-71.55648040771484,4.525827407836914
-0.0002838395594153553,-71.35077667236328,4.589511156082153
-0.00032961161923594773,-71.1352310180664,4.690623998641968
-0.00038503354880958796,-70.91468048095703,4.810765266418457
-0.00042887311428785324,-70.69390106201172,4.884588956832886
-0.0004827879020012915,-70.46687316894531,4.998087167739868
-0.00053982506506145,-70.23116302490234,5.1010637283325195
-0.0005882740369997919,-69.99108123779297,5.1622114181518555
-0.0006380753475241363,-69.7450180053711,5.260931730270386
-0.0007053239387460053,-69.49288940429688,5.381484031677246
-0.0007795473211444914,-69.23633575439453,5.490448713302612
-0.0008493871428072453,-68.97578430175781,5.602980852127075
-0.0009354762150906026,-68.71161651611328,5.733719110488892
-0.0012718492653220892,-68.4430923461914,5.8410420417785645
-0.0020044760312885046,-68.16776275634766,5.932892084121704
-0.0022362309973686934,-67.88062286376953,5.999471664428711
-0.002437943359836936,-67.59362030029297,6.059999227523804
-0.002707895589992404,-67.3042984008789,6.122159004211426
-0.002889742609113455,-67.00519561767578,6.186898946762085
-0.0032135704532265663,-66.69564819335938,6.252957105636597
-0.003498778911307454,-66.38639831542969,6.318181276321411
-0.003253145609050989,-66.0763168334961,6.382257699966431
-0.0031519129406660795,-65.75947570800781,6.4458699226379395
-0.0037153190933167934,-65.43103790283203,6.508689880371094
-0.0043765706941485405,-65.09391784667969,6.572656154632568
-0.005084427073597908,-64.7538833618164,6.631817817687988
-0.005906327161937952,-64.40959930419922,6.718071222305298
-0.006725325249135494,-64.05519104003906,6.835144519805908
-0.007463142741471529,-63.697601318359375,6.927547216415405
-0.008193311281502247,-63.340126037597656,7.007641792297363
-0.008816830813884735,-62.975399017333984,7.1141579151153564
-0.009664969518780708,-62.60087966918945,7.195621967315674
-0.0105917789041996,-62.221927642822266,7.2925214767456055
-0.011467025615274906,-61.84554672241211,7.395569562911987
-0.01215715054422617,-61.4644660949707,7.45813512802124
-0.013035711832344532,-61.06865692138672,7.519196510314941
-0.013826968148350716,-60.66144943237305,7.58005166053772
-0.014827534556388855,-60.25373840332031,7.641613245010376
-0.015769891440868378,-59.84870147705078,7.753589153289795
-0.016771486029028893,-59.4333610534668,7.87406849861145
-0.01763465255498886,-59.003108978271484,7.995632648468018
-0.018642965704202652,-58.566017150878906,8.113915920257568
-0.01970801316201687,-58.12738800048828,8.233672380447388
-0.020789647474884987,-57.681976318359375,8.336836099624634
